symbol,date,premium_score,risk_score,quadrant,spot,expiration_14,premium_atm_14,iv_atm_14,premium_slight_14,iv_slight_14,premium_moderate_14,iv_moderate_14,premium_far_14,iv_far_14,expiration_30,premium_atm_30,iv_atm_30,premium_slight_30,iv_slight_30,premium_moderate_30,iv_moderate_30,premium_far_30,iv_far_30,expiration_45,premium_atm_45,iv_atm_45,premium_slight_45,iv_slight_45,premium_moderate_45,iv_moderate_45,premium_far_45,iv_far_45,expiration_over60_1,premium_atm_over60_1,iv_atm_over60_1,premium_slight_over60_1,iv_slight_over60_1,premium_moderate_over60_1,iv_moderate_over60_1,premium_far_over60_1,iv_far_over60_1,expiration_over60_2,premium_atm_over60_2,iv_atm_over60_2,premium_slight_over60_2,iv_slight_over60_2,premium_moderate_over60_2,iv_moderate_over60_2,premium_far_over60_2,iv_far_over60_2,straddle_14,put_atm_14,call_atm_14,prem_per_iv_primary_14,prem_per_iv_sec_14,prem_per_hv30_14,straddle_30,put_atm_30,call_atm_30,prem_per_iv_primary_30,prem_per_iv_sec_30,prem_per_hv30_30,straddle_45,put_atm_45,call_atm_45,prem_per_iv_primary_45,prem_per_iv_sec_45,prem_per_hv30_45,straddle_over60_1,put_atm_over60_1,call_atm_over60_1,prem_per_iv_primary_over60_1,prem_per_iv_sec_over60_1,prem_per_hv30_over60_1,straddle_over60_2,put_atm_over60_2,call_atm_over60_2,prem_per_iv_primary_over60_2,prem_per_iv_sec_over60_2,prem_per_hv30_over60_2,HV_20,HV_30,HV_60,atm_iv_14,ratio_14,spread_14,signal_14,atm_iv_30,ratio_30,spread_30,signal_30,atm_iv_45,ratio_45,spread_45,signal_45,atm_iv_over60_1,ratio_over60_1,spread_over60_1,signal_over60_1,atm_iv_over60_2,ratio_over60_2,spread_over60_2,signal_over60_2,spike_count_30,spike_ratio_30,avg_spike_pct_30,max_spike_pct_30,spike_signal_30,spike_count_60,spike_ratio_60,avg_spike_pct_60,max_spike_pct_60,spike_signal_60,relative_vol_spy,relative_vol_qqq,straddle_14.0,put_atm_14.0,call_atm_14.0,prem_per_iv_primary_14.0,prem_per_iv_sec_14.0,prem_per_hv30_14.0,straddle_30.0,put_atm_30.0,call_atm_30.0,prem_per_iv_primary_30.0,prem_per_iv_sec_30.0,prem_per_hv30_30.0,straddle_45.0,put_atm_45.0,call_atm_45.0,prem_per_iv_primary_45.0,prem_per_iv_sec_45.0,prem_per_hv30_45.0,premium_slope,iv_slope,slope_divergence,wp_14,wp_30,wp_45,wp_over60_1,wp_over60_2,premium_slope_pct,iv_slope_pct,slope_div_pct,prem_efficiency_signal_14,prem_efficiency_signal_30,prem_efficiency_signal_45,prem_efficiency_signal_over60_1,prem_efficiency_signal_over60_2,spike_score_universe,spike_pct_universe,spike_signal_universe,HV_30_pct,relative_vol_spy_pct,relative_vol_qqq_pct
CAT,3/27/26,0.2095,-0.3275,Q1 High Premium / Low Risk,695.4,4/10/26,3.1906,48.9664,2.3867,51.1343,1.1763,52.8034,0.4572,53.3156,4/17/26,3.8818,48.316,2.9611,50.8091,1.625,53.1938,0.6442,55.34,5/15/26,5.617,49.0127,4.4169,52.2182,2.4231,54.5596,1.0012,58.5595,6/18/26,6.8131,46.3646,5.5861,49.2917,3.2005,51.9745,1.1288,55.633,7/17/26,7.2517,44.2917,6.4019,46.9745,3.3698,49.4543,1.4233,52.7061,5.89,3.19,2.69,0.5099,0.0652,0.1064,7.47,3.88,3.58,0.5353,0.0803,0.1294,10.34,5.62,4.73,0.4786,0.1146,0.1873,11.68,6.81,4.86,0.4388,0.1469,0.2272,11.65,7.25,4.39,0.3944,0.1637,0.2418,0.3381,0.2999,0.3651,0.4897,1.633,0.1898,Very Rich Vol,0.4832,1.611,0.1832,Very Rich Vol,0.4901,1.634,0.1902,Very Rich Vol,0.4636,1.546,0.1637,Very Rich Vol,0.4429,1.477,0.143,Rich Vol,1,0.73,4.09,4.09,Normal,2,0.73,5.9,6.82,Normal,2.14,1.69,,,,,,,,,,,,,,,,,,,0.056687,-0.000629,0.057317,3.0298,3.6977,5.377,6.5677,7.0817,0.511,0.198,0.516,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,1.282,0.211,Normal,0.44,0.44,0.437
IP,3/27/26,0.2088,-0.261,Q1 High Premium / Low Risk,35.45,4/10/26,2.6446,43.438,4.2313,79.535,1.1989,49.292,,,4/17/26,3.7377,47.34,2.6093,47.34,1.481,48.9663,0.4937,52.218,5/15/26,5.3244,48.804,3.8787,53.194,1.8336,53.194,0.7052,67.828,6/18/26,7.0874,47.828,5.0776,49.292,3.103,51.243,1.5867,58.0715,7/17/26,7.8279,45.389,5.8533,47.34,3.9492,50.267,1.5515,56.121,5.5,2.64,2.86,0.5373,0.0609,0.0595,7.62,3.74,3.88,0.5573,0.079,0.0842,9.59,5.32,4.27,0.4457,0.1091,0.1199,11.92,7.09,4.83,0.4342,0.1482,0.1596,14.95,7.83,7.12,0.4941,0.1725,0.1762,0.5094,0.4442,0.468,0.4344,0.978,-0.0098,Equiv. Vol,0.4734,1.066,0.0292,Equiv. Vol,0.488,1.099,0.0439,Equiv. Vol,0.4783,1.077,0.0341,Equiv. Vol,0.4539,1.022,0.0097,Equiv. Vol,1,0.73,8.11,8.11,Normal,4,1.47,6.63,8.11,Normal,3.17,2.51,,,,,,,,,,,,,,,,,,,0.06332,0.000152,0.063168,2.9619,3.512,5.0353,6.6854,7.433,0.61,0.687,0.61,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,2.1033,0.533,Moderate,0.71,0.71,0.71
ARKK,3/27/26,0.1929,-0.6839,Q1 High Premium / Low Risk,64.63,4/10/26,3.2209,50.1043,2.3854,54.1693,1.6014,57.096,0.3791,59.047,4/17/26,4.1146,51.9394,3.0752,55.389,1.8335,56.121,0.9206,60.999,5/15/26,5.8781,49.6816,5.1253,52.4622,2.2745,56.121,0.8781,63.4375,6/18/26,6.9362,47.8979,6.1182,50.2672,3.3137,53.1937,1.3454,58.4621,9/18/26,8.0303,45.3894,8.5487,47.34,4.9319,50.2675,1.9766,55.6325,5.88,3.22,2.65,0.4975,0.0643,0.0879,6.78,4.11,2.67,0.4524,0.0792,0.1123,10.15,5.88,4.27,0.4631,0.1183,0.1604,11.44,6.94,4.51,0.4163,0.1448,0.1893,10.25,8.03,2.22,0.271,0.1769,0.2191,0.386,0.3664,0.3774,0.501,1.367,0.1346,Rich Vol,0.5194,1.417,0.153,Rich Vol,0.4968,1.356,0.1304,Rich Vol,0.479,1.307,0.1125,Rich Vol,0.4539,1.239,0.0874,Rich Vol,0,0,0,4.18,Normal,3,1.1,5.38,5.97,Normal,2.62,2.07,,,,,,,,,,,,,,,,,,,0.068365,-0.000742,0.069106,3.0538,3.9067,5.7275,6.7726,8.134,0.677,0.164,0.685,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,0.6407,0.065,Normal,0.591,0.591,0.591
BX,3/27/26,0.1787,-0.1185,Q1 High Premium / Low Risk,108.07,4/10/26,3.3173,51.5678,2.4058,55.145,1.3155,57.4213,0.6315,64.901,4/17/26,4.0523,51.6609,2.9364,55.3075,1.6667,57.8278,0.6493,74.6567,5/15/26,5.8249,53.194,5.552,56.1205,2.8847,60.9985,1.1644,67.8273,6/18/26,7.6177,51.7305,6.3616,54.1693,3.1762,59.0475,1.4296,64.5757,7/17/26,7.6293,49.2917,7.3949,52.5433,3.9211,56.1205,1.6806,62.706,6.27,3.32,2.95,0.5156,0.0643,0.0734,7.52,4.05,3.47,0.5043,0.0784,0.0897,8.11,5.82,2.29,0.3459,0.1095,0.129,10.9,7.62,3.28,0.3672,0.1473,0.1687,12.29,7.63,4.66,0.3739,0.1548,0.1689,0.4205,0.4516,0.4259,0.5157,1.142,0.064,Equiv. Vol,0.5166,1.144,0.065,Equiv. Vol,0.5319,1.178,0.0803,Equiv. Vol,0.5173,1.145,0.0657,Equiv. Vol,0.4929,1.091,0.0413,Equiv. Vol,1,0.73,6.44,6.44,Normal,6,2.2,5.84,6.44,Moderate,3.22,2.55,,,,,,,,,,,,,,,,,,,0.063772,-0.000286,0.064058,3.135,3.8291,5.7703,7.3665,7.5824,0.625,0.374,0.631,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,2.35,0.608,Moderate,0.718,0.717,0.718
PYPL,3/27/26,0.1758,-0.0741,Q1 High Premium / Low Risk,43.59,4/10/26,3.1859,48.316,2.122,47.9907,0.9559,45.389,0.499,54.657,4/17/26,3.6293,46.56,2.5723,47.0962,1.5447,49.942,0.7494,50.267,5/15/26,6.2342,53.6815,4.1638,55.145,2.707,58.072,1.1643,60.5105,6/18/26,6.4006,49.2915,6.9339,52.2185,3.1142,54.169,1.1757,57.0965,7/17/26,6.9167,45.389,7.6508,49.2915,3.8025,51.7305,1.4854,52.706,6.23,3.19,3.05,0.5474,0.0659,0.08,6.74,3.63,3.11,0.5015,0.0779,0.0912,12.61,6.23,6.37,0.5325,0.1161,0.1566,9.03,6.4,2.63,0.3191,0.1299,0.1608,10.06,6.92,3.14,0.3324,0.1524,0.1738,0.3244,0.3981,0.5754,0.4832,1.214,0.0851,Rich Vol,0.4656,1.17,0.0675,Equiv. Vol,0.5368,1.348,0.1387,Rich Vol,0.4929,1.238,0.0948,Rich Vol,0.4539,1.14,0.0558,Equiv. Vol,2,1.47,6.06,6.52,Normal,1,0.37,22.71,22.71,Normal,2.84,2.25,,,,,,,,,,,,,,,,,,,0.05779,-0.000272,0.058062,2.9731,3.4179,5.8201,6.5073,7.0635,0.528,0.384,0.53,Rich + Thin,Cheap + Thin,Rich + Thin,Rich + Thin,Cheap + Thin,2.4275,0.637,Moderate,0.641,0.638,0.639
VALE,3/27/26,0.1745,-0.6017,Q1 High Premium / Low Risk,15.03,4/10/26,3.1936,43.438,1.9627,46.365,1.1643,47.34,0.5655,54.1695,4/17/26,3.3766,44.414,2.6613,45.389,1.4637,49.2915,0.5323,57.4217,5/15/26,5.7552,41.487,3.2934,44.414,1.7964,48.316,1.0313,54.169,6/18/26,6.0213,41.487,4.5908,42.462,2.8277,45.389,1.2087,54.4947,9/18/26,8.8379,45.389,7.0692,46.365,3.9587,47.34,1.7964,52.5437,6.65,3.19,3.46,0.6498,0.0735,0.0768,5.54,3.38,2.16,0.432,0.076,0.0812,12.14,5.76,6.39,0.6637,0.1387,0.1385,10.06,6.02,4.04,0.4227,0.1451,0.1449,15.37,8.84,6.54,0.4065,0.1947,0.2126,0.433,0.4156,0.4208,0.4344,1.045,0.0188,Equiv. Vol,0.4441,1.069,0.0285,Equiv. Vol,0.4149,0.998,-0.0007,Equiv. Vol,0.4149,0.998,-0.0007,Equiv. Vol,0.4539,1.092,0.0383,Equiv. Vol,1,0.73,6.19,6.19,Normal,1,0.37,6.19,6.19,Normal,2.97,2.35,,,,,,,,,,,,,,,,,,,0.073359,0.000122,0.073236,2.9474,3.2335,5.2628,5.7352,8.4842,0.725,0.664,0.723,Cheap + Efficient,Cheap + Thin,Cheap + Efficient,Cheap + Thin,Cheap + Thin,1.227,0.189,Normal,0.665,0.666,0.665
INTU,3/27/26,0.1734,-0.8475,Q1 High Premium / Low Risk,416.44,4/10/26,3.2572,50.2673,2.3773,53.194,1.3928,54.657,0.5553,63.1932,4/17/26,3.8625,50.9177,2.8966,52.4622,1.5248,55.6325,0.6048,60.7545,5/15/26,5.8754,50.511,4.5185,52.5437,2.4733,54.8197,1.2647,66.2017,6/18/26,7.8023,52.2182,6.2794,54.1692,3.634,56.121,1.4331,59.1869,7/17/26,8.3886,50.2673,6.983,52.9986,3.8901,54.8197,1.7667,58.6293,5.73,3.26,2.48,0.4838,0.0648,0.0641,7.04,3.86,3.18,0.4789,0.0759,0.076,10.1,5.88,4.23,0.4535,0.1163,0.1155,12.42,7.8,4.61,0.4143,0.1494,0.1534,13.73,8.39,5.34,0.4098,0.1669,0.165,0.468,0.5085,0.5334,0.5027,0.988,-0.0059,Equiv. Vol,0.5092,1.001,0.0006,Equiv. Vol,0.5051,0.993,-0.0034,Equiv. Vol,0.5222,1.027,0.0136,Equiv. Vol,0.5027,0.988,-0.0059,Equiv. Vol,0,0,0,6.09,Normal,2,0.73,9.19,11.53,Normal,3.63,2.87,,,,,,,,,,,,,,,,,,,0.07208,4.20E-05,0.072037,3.0812,3.6693,5.604,7.4977,8.1075,0.709,0.592,0.707,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,0.5537,0.055,Normal,0.768,0.769,0.768
UNH,3/27/26,0.1548,-0.1181,Q1 High Premium / Low Risk,259.02,4/10/26,3.6535,56.9335,2.7918,59.2912,1.3783,62.2993,0.5482,64.5757,4/17/26,4.2342,52.8683,3.0847,54.9498,1.5829,57.096,0.6351,60.9985,5/15/26,5.8567,48.804,4.6908,50.755,2.4419,53.6815,0.8991,57.3402,6/18/26,6.4036,45.3893,5.4018,48.316,2.6301,50.755,1.0559,54.0068,7/17/26,7.4878,44.739,6.3991,47.3403,3.3106,48.804,1.33,54.8198,6.5,3.65,2.84,0.4841,0.0642,0.1288,7.66,4.23,3.43,0.5019,0.0801,0.1493,9.86,5.86,4,0.4582,0.12,0.2065,9.94,6.4,3.54,0.3816,0.1411,0.2257,11.75,7.49,4.26,0.394,0.1674,0.2639,0.2313,0.2837,0.5321,0.5693,2.007,0.2856,Very Rich Vol,0.5287,1.864,0.245,Very Rich Vol,0.488,1.72,0.2044,Very Rich Vol,0.4539,1.6,0.1702,Very Rich Vol,0.4474,1.577,0.1637,Very Rich Vol,1,0.73,3.67,3.67,Normal,1,0.37,21.82,21.82,Normal,2.02,1.6,,,,,,,,,,,,,,,,,,,0.05122,-0.001624,0.052844,3.4812,4.0043,5.6235,6.2032,7.2701,0.424,0.061,0.459,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,1.1347,0.149,Normal,0.406,0.403,0.404
HII,3/27/26,0.1475,-0.2744,Q1 High Premium / Low Risk,381.79,4/17/26,3.8228,47.3405,2.5669,47.828,1.5192,50.267,0.6002,49.2917,4/17/26,3.8228,47.3405,2.5669,47.828,1.5192,50.267,0.6002,49.2917,5/15/26,6.0705,50.5923,4.6622,51.568,2.353,53.8443,1.1885,55.633,6/18/26,6.7426,46.121,5.3629,47.34,2.9074,48.804,1.4504,50.0232,7/17/26,7.1432,44.609,6.2272,45.633,2.999,47.34,,,6.88,3.82,3.06,0.5034,0.0808,0.1134,6.88,3.82,3.06,0.5034,0.0808,0.1134,10.39,6.07,4.32,0.4659,0.12,0.18,10.97,6.74,4.23,0.4144,0.1462,0.1999,11.24,7.14,4.1,0.3781,0.1601,0.2118,0.3146,0.3372,0.4486,0.4734,1.404,0.1362,Rich Vol,0.4734,1.404,0.1362,Rich Vol,0.5059,1.5,0.1687,Very Rich Vol,0.4612,1.368,0.124,Rich Vol,0.4461,1.323,0.1089,Rich Vol,1,0.73,4.51,4.51,Normal,3,1.1,8.2,11.2,Normal,2.41,1.91,,,,,,,,,,,,,,,,,,,0.049807,-0.000407,0.050215,3.5716,3.5716,5.7888,6.4667,6.96,0.391,0.303,0.396,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,1.6975,0.351,Normal,0.51,0.512,0.512
LPLA,3/27/26,0.1473,-0.3265,Q1 High Premium / Low Risk,296.9,4/17/26,3.9407,47.34,2.9892,50.755,1.7346,56.121,0.8631,67.5838,4/17/26,3.9407,47.34,2.9892,50.755,1.7346,56.121,0.8631,67.5838,5/15/26,6.1076,51.893,4.488,55.633,,,,,6/18/26,7.2162,49.2915,5.5967,53.844,,,1.4146,65.8765,7/17/26,7.3678,47.5842,7.3173,51.7305,3.9576,57.096,,,6.94,3.94,3,0.5077,0.0832,0.0996,6.94,3.94,3,0.5077,0.0832,0.0996,11.5,6.11,5.39,0.5024,0.1177,0.1543,12.86,7.22,5.64,0.4545,0.1464,0.1823,10.94,7.37,3.57,0.3448,0.1548,0.1861,0.3142,0.3959,0.4302,0.4734,1.196,0.0775,Equiv. Vol,0.4734,1.196,0.0775,Equiv. Vol,0.5189,1.311,0.1231,Rich Vol,0.4929,1.245,0.0971,Rich Vol,0.4758,1.202,0.08,Rich Vol,1,0.73,6.19,6.19,Normal,3,1.1,7.04,8.67,Normal,2.83,2.24,,,,,,,,,,,,,,,,,,,0.053598,6.10E-05,0.053537,3.7504,3.7504,5.7837,6.8923,7.3577,0.476,0.608,0.474,Cheap + Thin,Cheap + Thin,Rich + Thin,Rich + Thin,Rich + Thin,1.7568,0.381,Normal,0.63,0.631,0.632
IQV,3/27/26,0.1463,-0.1255,Q1 High Premium / Low Risk,163.85,4/17/26,3.3872,40.511,2.3726,42.95,1.2359,46.365,0.6307,53.8443,4/17/26,3.3872,40.511,2.3726,42.95,1.2359,46.365,0.6307,53.8443,5/15/26,5.3301,45.3893,3.7839,48.316,2.098,49.7795,1.1138,55.7957,,,,,,,,,,8/21/26,7.8425,42.95,7.3543,45.3892,4.1196,48.316,,,6.62,3.39,3.23,0.5662,0.0836,0.0867,6.62,3.39,3.23,0.5662,0.0836,0.0867,10.86,5.33,5.53,0.5428,0.1174,0.1364,,,,,,,11.72,7.84,3.88,0.3574,0.1826,0.2008,0.341,0.3906,0.4997,0.4051,1.037,0.0145,Equiv. Vol,0.4051,1.037,0.0145,Equiv. Vol,0.4539,1.162,0.0633,Equiv. Vol,,,,,0.4295,1.1,0.0389,Equiv. Vol,2,1.47,5.21,5.25,Normal,2,0.73,11.95,12.64,Normal,2.79,2.21,,,,,,,,,,,,,,,,,,,0.063533,0.00034,0.063193,3.1843,3.1843,5.0209,,7.7449,0.618,0.801,0.612,Cheap + Thin,Cheap + Thin,Cheap + Thin,,Cheap + Thin,2.458,0.644,Moderate,0.624,0.624,0.624
GM,3/27/26,0.1418,-0.5195,Q1 High Premium / Low Risk,72.98,4/10/26,2.7953,42.4623,1.9594,44.4135,1.0848,46.69,0.4727,50.755,4/17/26,3.3708,42.2672,2.3682,44.0887,1.3394,46.121,0.5721,50.267,5/15/26,5.6043,45.877,4.0936,47.828,2.6377,50.267,1.0482,55.145,6/18/26,6.045,41.812,5.2583,43.926,2.7496,46.0393,1.2857,51.893,9/18/26,7.61,38.5598,6.737,40.5113,3.8732,44.0883,1.6018,47.9258,5.65,2.8,2.85,0.5643,0.0658,0.097,6.39,3.37,3.02,0.5239,0.0797,0.117,10.52,5.6,4.92,0.5202,0.1222,0.1945,10.22,6.05,4.17,0.4257,0.1446,0.2098,13.03,7.61,5.42,0.4056,0.1974,0.2642,0.2707,0.2881,0.3501,0.4246,1.474,0.1365,Rich Vol,0.4227,1.467,0.1346,Rich Vol,0.4588,1.592,0.1707,Very Rich Vol,0.4181,1.451,0.13,Rich Vol,0.3856,1.338,0.0975,Rich Vol,1,0.73,3.92,3.92,Normal,1,0.37,8.39,8.39,Normal,2.06,1.63,,,,,,,,,,,,,,,,,,,0.064881,-0.000515,0.065397,2.6281,3.1703,5.3022,5.8877,7.4354,0.637,0.241,0.642,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,1.0628,0.132,Normal,0.416,0.417,0.417
AMP,3/27/26,0.1411,-0.1587,Q1 High Premium / Low Risk,436.81,4/17/26,3.0288,38.56,2.152,41.487,1.345,43.438,0.807,46.365,4/17/26,3.0288,38.56,2.152,41.487,1.345,43.438,0.807,46.365,5/15/26,4.8015,40.186,3.4149,43.438,1.9974,46.365,1.2477,46.365,6/18/26,5.4732,37.3403,4.3917,39.5357,2.4534,41.812,1.345,42.462,9/18/26,6.6093,35.6332,6.6551,37.5844,3.6658,40.5112,0.9558,44.414,6.65,3.03,3.62,0.5977,0.0785,0.1129,6.65,3.03,3.62,0.5977,0.0785,0.1129,8.94,4.8,4.13,0.5042,0.1195,0.1789,9.72,5.47,4.24,0.4534,0.1466,0.204,10.08,6.61,3.47,0.3394,0.1855,0.2463,0.1974,0.2684,0.3228,0.3856,1.437,0.1172,Rich Vol,0.3856,1.437,0.1172,Rich Vol,0.4019,1.497,0.1335,Rich Vol,0.3734,1.391,0.105,Rich Vol,0.3563,1.328,0.088,Rich Vol,2,1.47,3.7,3.87,Normal,2,0.73,5.33,6.41,Normal,1.92,1.52,,,,,,,,,,,,,,,,,,,0.052856,-0.000415,0.053271,2.8534,2.8534,4.5242,5.2569,6.6185,0.459,0.295,0.465,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,2.0676,0.509,Moderate,0.344,0.346,0.346
ACAD,3/27/26,0.1331,-0.3441,Q1 High Premium / Low Risk,20.75,4/17/26,4.6988,56.121,2.6506,55.633,,,,,4/17/26,4.6988,56.121,2.6506,55.633,,,,,5/15/26,6.2048,54.657,5.3614,58.0715,3.012,59.047,,,6/18/26,8.012,52.706,6.9277,54.1695,2.5301,43.438,5.7831,127.338,9/18/26,12.4398,60.9985,11.3554,65.3888,,,,,7.59,4.7,2.89,0.4685,0.0837,0.0997,7.59,4.7,2.89,0.4685,0.0837,0.0997,9.64,6.2,3.43,0.3999,0.1135,0.1317,13.13,8.01,5.12,0.4342,0.152,0.17,18.05,12.44,5.61,0.3552,0.2039,0.264,0.4911,0.4712,0.4083,0.5612,1.191,0.0901,Equiv. Vol,0.5612,1.191,0.0901,Equiv. Vol,0.5466,1.16,0.0754,Equiv. Vol,0.5271,1.119,0.0559,Equiv. Vol,0.61,1.295,0.1388,Rich Vol,1,0.73,7.39,7.39,Normal,2,0.73,6.39,7.39,Normal,3.36,2.66,,,,,,,,,,,,,,,,,,,0.106871,0.000458,0.106413,4.2892,4.2892,6.0361,7.7951,12.2229,0.912,0.865,0.906,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Rich + Thin,1.5527,0.294,Normal,0.737,0.734,0.734
BK,3/27/26,0.1269,-0.1247,Q1 High Premium / Low Risk,114.66,4/17/26,3.4973,39.536,2.224,42.462,1.2646,46.365,0.5669,53.6815,4/17/26,3.4973,39.536,2.224,42.462,1.2646,46.365,0.5669,53.6815,5/15/26,4.086,36.6085,3.6194,39.536,1.9296,42.4625,,,6/18/26,4.7619,33.1945,3.881,37.0965,2.2131,41.4865,1.0211,44.7388,9/18/26,6.041,32.3817,5.9524,35.1455,3.385,38.8038,1.6104,44.8317,6.91,3.5,3.41,0.6052,0.0885,0.1708,6.91,3.5,3.41,0.6052,0.0885,0.1708,9.07,4.09,4.98,0.5616,0.1116,0.1995,7.78,4.76,3.01,0.4081,0.1435,0.2325,9.72,6.04,3.68,0.3604,0.1866,0.295,0.1534,0.2048,0.2624,0.3954,1.931,0.1906,Very Rich Vol,0.3954,1.931,0.1906,Very Rich Vol,0.3661,1.788,0.1613,Very Rich Vol,0.3319,1.621,0.1272,Very Rich Vol,0.3238,1.581,0.119,Very Rich Vol,1,0.73,3.18,3.18,Normal,3,1.1,4.31,5.74,Normal,1.46,1.16,,,,,,,,,,,,,,,,,,,0.037779,-0.00108,0.038859,3.2426,3.2426,3.9927,4.5857,6.0233,0.17,0.106,0.185,Rich + Efficient,Rich + Efficient,Rich + Thin,Rich + Thin,Rich + Thin,1.3605,0.234,Normal,0.143,0.143,0.145
ZBRA,3/27/26,0.1187,-0.2327,Q1 High Premium / Low Risk,202.64,4/17/26,3.4889,48.8035,2.7512,52.2185,1.4434,54.6575,0.7649,65.1448,4/17/26,3.4889,48.8035,2.7512,52.2185,1.4434,54.6575,0.7649,65.1448,5/15/26,6.5732,54.657,5.0911,56.4457,2.8129,58.397,1.7642,62.95,,,,,,,,,,8/21/26,9.1936,50.755,8.4139,53.5842,5.453,53.194,3.2323,57.096,6.3,3.49,2.81,0.4473,0.0715,0.0838,6.3,3.49,2.81,0.4473,0.0715,0.0838,12.34,6.57,5.77,0.5122,0.1203,0.1578,,,,,,,15.28,9.19,6.09,0.3942,0.1811,0.2207,0.3007,0.4165,0.4515,0.488,1.172,0.0715,Equiv. Vol,0.488,1.172,0.0715,Equiv. Vol,0.5466,1.312,0.13,Rich Vol,,,,,0.5075,1.219,0.091,Rich Vol,1,0.73,9.91,9.91,Normal,2,0.73,9.07,9.91,Normal,2.97,2.35,,,,,,,,,,,,,,,,,,,0.079355,0.000272,0.079083,3.3414,3.3414,6.2768,,9.0377,0.78,0.766,0.774,Cheap + Thin,Cheap + Thin,Rich + Thin,,Rich + Thin,1.7445,0.375,Normal,0.667,0.666,0.665
CPRT,3/27/26,0.1038,-0.5456,Q1 High Premium / Low Risk,32.43,4/17/26,3.3302,36.609,,,0.7709,35.633,1.2334,68.803,4/17/26,3.3302,36.609,,,0.7709,35.633,1.2334,68.803,5/15/26,4.9491,36.609,2.4669,39.536,,,0.9251,49.2915,6/18/26,6.7993,38.56,4.0086,40.511,2.3898,45.389,1.8501,55.145,8/21/26,6.6065,36.121,5.6275,38.56,3.7003,42.462,1.7987,53.194,6.81,3.33,3.48,0.6448,0.091,0.1107,6.81,3.33,3.48,0.6448,0.091,0.1107,10.28,4.95,5.33,0.637,0.1352,0.1646,14.52,6.8,7.72,0.6563,0.1763,0.2261,11.66,6.61,5.06,0.4228,0.1829,0.2197,0.258,0.3008,0.3171,0.3661,1.217,0.0653,Rich Vol,0.3661,1.217,0.0653,Rich Vol,0.3661,1.217,0.0653,Rich Vol,0.3856,1.282,0.0848,Rich Vol,0.3612,1.201,0.0605,Rich Vol,1,0.73,4.55,4.55,Normal,2,0.73,5.93,7.32,Normal,2.15,1.7,,,,,,,,,,,,,,,,,,,0.039395,2.10E-05,0.039375,,,4.4527,6.2412,6.4107,0.197,0.586,0.193,Rich + Efficient,Rich + Efficient,Rich + Efficient,Rich + Efficient,Rich + Thin,1.3397,0.225,Normal,0.443,0.445,0.444
CARR,3/27/26,0.0938,-0.3887,Q1 High Premium / Low Risk,54.25,4/17/26,3.7327,46.365,3.0415,48.316,1.659,50.267,0.9217,60.5105,4/17/26,3.7327,46.365,3.0415,48.316,1.659,50.267,0.9217,60.5105,5/15/26,5.576,50.755,4.977,53.1935,2.3502,57.096,,,6/18/26,6.7281,45.877,6.0599,47.828,3.1797,50.2675,1.2442,58.0718,9/18/26,8.6329,43.7633,7.9877,45.7143,4.2857,48.316,1.8433,49.2913,6.22,3.73,2.49,0.4648,0.0805,0.0989,6.22,3.73,2.49,0.4648,0.0805,0.0989,8.06,5.58,2.49,0.3603,0.1099,0.1478,9.95,6.73,3.23,0.3781,0.1467,0.1783,13.3,8.63,4.67,0.3648,0.1973,0.2288,0.3911,0.3773,0.3496,0.4636,1.229,0.0864,Rich Vol,0.4636,1.229,0.0864,Rich Vol,0.5075,1.345,0.1303,Rich Vol,0.4588,1.216,0.0815,Rich Vol,0.4376,1.16,0.0604,Equiv. Vol,1,0.73,8.05,8.05,Normal,2,0.73,6.26,8.05,Normal,2.69,2.13,,,,,,,,,,,,,,,,,,,0.068701,-0.000373,0.069074,3.5945,3.5945,5.4562,6.5945,8.5039,0.685,0.326,0.683,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Cheap + Thin,1.608,0.306,Normal,0.612,0.611,0.612
