symbol,date,premium_score,risk_score,quadrant,spot,expiration_14,premium_atm_14,iv_atm_14,premium_slight_14,iv_slight_14,premium_moderate_14,iv_moderate_14,premium_far_14,iv_far_14,expiration_30,premium_atm_30,iv_atm_30,premium_slight_30,iv_slight_30,premium_moderate_30,iv_moderate_30,premium_far_30,iv_far_30,expiration_45,premium_atm_45,iv_atm_45,premium_slight_45,iv_slight_45,premium_moderate_45,iv_moderate_45,premium_far_45,iv_far_45,expiration_over60_1,premium_atm_over60_1,iv_atm_over60_1,premium_slight_over60_1,iv_slight_over60_1,premium_moderate_over60_1,iv_moderate_over60_1,premium_far_over60_1,iv_far_over60_1,expiration_over60_2,premium_atm_over60_2,iv_atm_over60_2,premium_slight_over60_2,iv_slight_over60_2,premium_moderate_over60_2,iv_moderate_over60_2,premium_far_over60_2,iv_far_over60_2,straddle_14,put_atm_14,call_atm_14,prem_per_iv_primary_14,prem_per_iv_sec_14,prem_per_hv30_14,straddle_30,put_atm_30,call_atm_30,prem_per_iv_primary_30,prem_per_iv_sec_30,prem_per_hv30_30,straddle_45,put_atm_45,call_atm_45,prem_per_iv_primary_45,prem_per_iv_sec_45,prem_per_hv30_45,straddle_over60_1,put_atm_over60_1,call_atm_over60_1,prem_per_iv_primary_over60_1,prem_per_iv_sec_over60_1,prem_per_hv30_over60_1,straddle_over60_2,put_atm_over60_2,call_atm_over60_2,prem_per_iv_primary_over60_2,prem_per_iv_sec_over60_2,prem_per_hv30_over60_2,HV_20,HV_30,HV_60,atm_iv_14,ratio_14,spread_14,signal_14,atm_iv_30,ratio_30,spread_30,signal_30,atm_iv_45,ratio_45,spread_45,signal_45,atm_iv_over60_1,ratio_over60_1,spread_over60_1,signal_over60_1,atm_iv_over60_2,ratio_over60_2,spread_over60_2,signal_over60_2,spike_count_30,spike_ratio_30,avg_spike_pct_30,max_spike_pct_30,spike_signal_30,spike_count_60,spike_ratio_60,avg_spike_pct_60,max_spike_pct_60,spike_signal_60,relative_vol_spy,relative_vol_qqq,straddle_14.0,put_atm_14.0,call_atm_14.0,prem_per_iv_primary_14.0,prem_per_iv_sec_14.0,prem_per_hv30_14.0,straddle_45.0,put_atm_45.0,call_atm_45.0,prem_per_iv_primary_45.0,prem_per_iv_sec_45.0,prem_per_hv30_45.0,premium_slope,iv_slope,slope_divergence,wp_14,wp_30,wp_45,wp_over60_1,wp_over60_2,premium_slope_pct,iv_slope_pct,slope_div_pct,prem_efficiency_signal_14,prem_efficiency_signal_30,prem_efficiency_signal_45,prem_efficiency_signal_over60_1,prem_efficiency_signal_over60_2,spike_score_universe,spike_pct_universe,spike_signal_universe,HV_30_pct,relative_vol_spy_pct,relative_vol_qqq_pct
RXRX,2026-03-31,2.9204,1.4448,Q2 High Premium / High Risk,3.07,2026-04-10,7.8176,137.094,,,,,,,2026-05-01,27.6873,322.456,,,15.4723,10.268,,,2026-05-15,,,18.5668,145.875,2.6059,72.706,,,2026-06-18,14.2508,199.0435,13.1922,105.388,,,,,2026-09-18,15.9609,110.5584,25.0814,102.949,,,19.544,21.0,,,,,,,40.55,27.69,12.87,0.3586,0.0859,0.4804,,,,,,,14.25,14.25,0.0,0.1279,0.0716,0.2473,19.46,15.96,3.5,0.2137,0.1444,0.2769,0.521,0.5763,0.6398,1.3709,2.379,0.7946,Very Rich Vol,3.2246,5.595,2.6482,Very Rich Vol,,,,,1.9904,3.454,1.4141,Very Rich Vol,1.1056,1.918,0.5293,Very Rich Vol,2,1.47,8.1,8.41,Normal,3,1.1,9.56,11.15,Normal,3.47,2.81,,,,,,,,,,,,,,-0.010943,,,,,14.0391,17.785,,0.004,,,Rich + Thin,,Rich + Thin,Rich + Thin,3.1309,0.852,Elevated,0.814,0.815,0.816
HUT,2026-03-31,2.8338,0.2221,Q2 High Premium / High Risk,46.91,2026-04-10,5.4213,99.4121,3.9848,103.7847,2.1673,108.1517,1.0001,118.8833,2026-05-01,9.425,103.3146,7.8299,104.7048,5.0309,105.875,2.281,103.924,2026-05-15,11.6393,103.924,9.806,105.8755,4.0397,108.802,2.1744,116.607,2026-06-18,16.1693,102.9488,13.6298,104.1684,7.1748,107.1299,2.8814,111.729,2026-07-17,15.8362,98.5585,16.02,99.0462,9.6728,100.7538,4.4198,105.55,9.11,5.42,3.68,0.4598,0.0545,0.0546,14.85,9.42,5.43,0.4098,0.0912,0.0948,16.72,11.64,5.08,0.3808,0.112,0.1171,26.66,16.17,10.49,0.4626,0.1571,0.1627,23.24,15.84,7.41,0.3602,0.1607,0.1594,1.0842,0.9937,1.0541,0.9941,1.0,0.0004,Equiv. Vol,1.0331,1.04,0.0394,Equiv. Vol,1.0392,1.046,0.0455,Equiv. Vol,1.0295,1.036,0.0358,Equiv. Vol,0.9856,0.992,-0.0081,Equiv. Vol,1,0.73,13.0,13.0,Normal,3,1.1,16.78,19.71,Normal,5.98,4.84,,,,,,,,,,,,,0.143477,-0.000207,0.143684,5.134,9.106,11.2726,15.6614,15.873,0.982,0.323,0.982,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,2.3487,0.624,Moderate,0.98,0.98,0.98
SOXS,2026-03-31,2.7768,7.1533,Q2 High Premium / High Risk,39.86,2026-04-10,6.8019,123.5579,4.4008,112.5422,1.961,108.152,0.5645,118.558,2026-05-01,11.3059,121.635,8.3403,113.5718,3.3994,118.558,,,2026-05-15,12.7514,126.0967,11.6261,116.7695,5.3688,112.2165,2.0472,103.9244,,,,,,,,,,2026-08-21,19.8221,138.1046,26.755,126.8062,12.685,116.851,4.5534,118.558,11.35,6.8,4.55,0.4613,0.0551,0.0077,18.27,11.31,6.96,0.4282,0.0929,0.0127,17.19,12.75,4.44,0.3225,0.1011,0.0144,,,,,,,20.36,19.82,0.54,0.1957,0.1435,0.0224,10.8645,8.8679,6.3324,1.2356,0.139,-7.6324,Discounted Vol,1.2164,0.137,-7.6516,Discounted Vol,1.261,0.142,-7.607,Discounted Vol,,,,,1.381,0.156,-7.4869,Discounted Vol,1,0.73,303.36,303.36,Normal,1,0.37,303.36,303.36,Normal,53.36,43.17,,,,,,,,,,,,,0.187443,0.002113,0.18533,6.3217,10.7128,12.5263,,21.2087,0.994,0.985,0.994,Cheap + Thin,Cheap + Thin,Cheap + Thin,,Cheap + Thin,3.5567,0.92,Extreme,1.0,1.0,1.0
VIXY,2026-03-31,2.6362,0.377,Q2 High Premium / High Risk,34.35,2026-04-17,6.72,92.217,5.1674,91.2415,2.2198,78.0715,0.9098,75.6325,,,,,,,,,,2026-05-15,10.1476,96.3984,8.0058,86.3637,3.639,83.437,1.2373,75.632,2026-06-18,13.2063,104.8998,12.2756,92.5425,6.7443,93.8433,2.9112,76.608,2026-09-18,18.9229,103.4365,20.2693,96.1196,9.1946,86.3637,,,10.29,6.72,3.57,0.4295,0.0729,0.0762,,,,,,,14.85,10.15,4.7,0.3645,0.1053,0.1151,17.09,13.21,3.89,0.291,0.1259,0.1498,23.52,18.92,4.59,0.276,0.1829,0.2146,1.0377,0.8818,0.7573,0.9222,1.046,0.0403,Equiv. Vol,,,,,0.964,1.093,0.0822,Equiv. Vol,1.049,1.19,0.1672,Equiv. Vol,1.0344,1.173,0.1525,Equiv. Vol,1,0.73,12.67,12.67,Normal,5,1.83,10.54,12.67,Moderate,5.31,4.29,,,,,,,,,,,,,0.166103,0.001639,0.164465,6.4095,,9.7192,13.0202,19.1922,0.992,0.969,0.992,Cheap + Thin,,Cheap + Thin,Cheap + Thin,Cheap + Thin,2.7721,0.774,Elevated,0.967,0.967,0.967
TECL,2026-03-31,2.6174,0.106,Q2 High Premium / High Risk,86.55,2026-04-17,6.4934,91.5204,4.6505,97.7457,2.6863,108.1517,1.2767,125.9726,,,,,,,,,,2026-05-15,9.4262,89.1278,8.4633,99.534,4.8527,106.363,2.5708,123.4363,2026-06-18,11.9815,85.1586,12.3512,97.9407,7.0118,107.8266,3.3102,118.9484,2026-07-17,11.9822,82.8273,14.3732,95.5342,8.3478,106.363,4.7227,111.9728,10.28,6.49,3.78,0.4324,0.0709,0.084,,,,,,,13.6,9.43,4.17,0.361,0.1058,0.1219,17.76,11.98,5.78,0.3725,0.1407,0.1549,15.81,11.98,3.83,0.2916,0.1447,0.1549,0.8475,0.7734,0.7478,0.9152,1.183,0.1418,Equiv. Vol,,,,,0.8913,1.152,0.1178,Equiv. Vol,0.8516,1.101,0.0782,Equiv. Vol,0.8283,1.071,0.0548,Equiv. Vol,1,0.73,12.08,12.08,Normal,3,1.1,11.03,12.08,Normal,4.65,3.77,,,,,,,,,,,,,0.086726,-0.001184,0.08791,6.1248,,9.2336,12.0554,12.4604,0.845,0.068,0.847,Cheap + Thin,,Cheap + Thin,Cheap + Thin,Cheap + Thin,2.1623,0.555,Moderate,0.936,0.936,0.936
WING,2026-03-31,2.1241,0.2823,Q2 High Premium / High Risk,154.97,2026-04-17,5.4978,73.1935,4.146,75.1445,2.3553,80.51,1.1454,83.437,,,,,,,,,,2026-05-15,9.1889,85.5834,8.2516,89.2908,4.1379,95.144,1.468,93.193,2026-06-18,11.2248,79.8598,9.7277,83.437,5.8721,86.364,3.0651,88.8025,2026-07-17,12.3747,76.8864,12.938,78.8843,5.856,80.998,3.9362,84.413,9.5,5.5,4.0,0.4995,0.0751,0.0825,,,,,,,13.84,9.19,4.65,0.3828,0.1074,0.138,16.64,11.22,5.42,0.3722,0.1406,0.1685,18.11,12.37,5.73,0.3597,0.1609,0.1858,0.4519,0.6661,0.6832,0.7319,1.099,0.0659,Equiv. Vol,,,,,0.8558,1.285,0.1898,Rich Vol,0.7986,1.199,0.1325,Equiv. Vol,0.7689,1.154,0.1028,Equiv. Vol,2,1.47,7.74,7.74,Normal,2,0.73,11.52,12.75,Normal,4.01,3.24,,,,,,,,,,,,,0.0954,0.000328,0.095072,5.2274,,9.0014,10.9254,12.4874,0.877,0.784,0.877,Cheap + Thin,,Rich + Thin,Cheap + Thin,Cheap + Thin,2.8048,0.788,Elevated,0.876,0.876,0.874
BEAM,2026-03-31,2.09,0.4799,Q2 High Premium / High Risk,23.83,2026-04-17,8.3438,120.8343,7.3961,120.9975,2.4654,93.6805,,,,,,,,,,,,2026-05-15,11.8758,100.9973,6.5394,74.3317,2.8326,79.535,3.3571,124.412,,,,,,,,,,2026-08-21,13.0448,75.214,13.717,80.0225,9.1272,81.486,,,11.83,8.34,3.48,0.3768,0.0691,0.1175,,,,,,,15.01,11.88,3.14,0.3518,0.1176,0.1672,,,,,,,17.71,13.04,4.66,0.3126,0.1734,0.1837,0.6159,0.7101,0.8201,1.2083,1.702,0.4982,Very Rich Vol,,,,,1.01,1.422,0.2999,Rich Vol,,,,,0.7521,1.059,0.042,Equiv. Vol,1,0.73,13.08,13.08,Normal,2,0.73,16.6,20.12,Normal,4.27,3.46,,,,,,,,,,,,,0.064208,-0.0059,0.070108,8.1543,,10.8085,,13.1792,0.656,0.007,0.728,Rich + Thin,,Rich + Thin,,Cheap + Thin,2.0195,0.498,Normal,0.905,0.905,0.905
VXX,2026-03-31,2.0354,0.1553,Q2 High Premium / High Risk,35.7,2026-04-10,5.0117,92.5423,3.2493,82.4613,1.5219,74.6567,0.6303,68.803,2026-05-01,8.9636,95.144,6.0964,84.5517,3.1326,79.8597,1.25,75.1442,2026-05-15,10.7143,98.3496,7.5805,87.0955,3.9286,82.4615,1.4566,74.6568,2026-06-18,13.4645,103.5694,11.6853,90.754,4.937,83.681,2.7136,90.266,2026-09-18,16.9678,106.4607,20.8683,98.8513,10.1569,93.583,5.0175,89.5345,8.27,5.01,3.26,0.4487,0.0542,0.058,14.46,8.96,5.5,0.4334,0.0942,0.1037,16.22,10.71,5.5,0.3902,0.1089,0.1239,18.66,13.46,5.2,0.3218,0.13,0.1557,19.83,16.97,2.87,0.2262,0.1594,0.1962,1.0157,0.8647,0.7447,0.9254,1.07,0.0607,Equiv. Vol,0.9514,1.1,0.0868,Equiv. Vol,0.9835,1.137,0.1188,Equiv. Vol,1.0357,1.198,0.171,Equiv. Vol,1.0646,1.231,0.1999,Rich Vol,1,0.73,12.85,12.85,Normal,3,1.1,11.15,12.85,Normal,5.2,4.21,,,,,,,,,,,,,0.165027,0.001909,0.163118,4.6592,8.3902,10.0875,13.1087,17.7479,0.99,0.976,0.99,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Rich + Thin,2.2104,0.577,Moderate,0.964,0.964,0.964
RKLB,2026-03-31,1.9958,-0.0134,Q2 High Premium / High Risk,64.22,2026-04-10,4.7945,87.7296,3.3868,90.9978,1.8348,93.5177,0.753,100.1614,2026-05-01,8.1595,86.6076,6.9488,86.12,4.0408,90.266,1.7129,95.632,2026-05-15,10.2305,89.2905,7.63,92.705,3.6904,94.168,1.6389,99.0465,2026-06-18,12.1899,86.689,10.6081,89.291,6.0729,91.242,2.494,94.4933,2026-07-17,13.1404,85.1442,12.4766,86.8515,6.1897,87.3393,3.3083,95.2255,8.6,4.79,3.8,0.4918,0.0547,0.052,13.26,8.16,5.1,0.4365,0.0942,0.0884,16.12,10.23,5.89,0.4272,0.1146,0.1109,18.63,12.19,6.44,0.3839,0.1406,0.1321,19.2,13.14,6.06,0.3444,0.1543,0.1424,1.0453,0.9227,0.9215,0.8773,0.951,-0.0454,Equiv. Vol,0.8661,0.939,-0.0566,Equiv. Vol,0.8929,0.968,-0.0297,Equiv. Vol,0.8669,0.94,-0.0558,Equiv. Vol,0.8514,0.923,-0.0712,Equiv. Vol,1,0.73,12.32,12.32,Normal,1,0.37,12.32,12.32,Normal,5.55,4.49,,,,,,,,,,,,,0.107866,-0.000308,0.108174,4.513,7.9174,9.7104,11.8735,13.0076,0.93,0.26,0.933,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,1.6105,0.321,Normal,0.971,0.971,0.971
LCID,2026-03-31,1.9505,0.1202,Q2 High Premium / High Risk,9.53,2026-04-10,4.617,73.681,2.9906,84.413,1.5215,83.437,0.4722,97.095,2026-05-01,9.2078,90.266,6.9517,95.144,3.8038,102.4605,1.9937,120.509,2026-05-15,9.9948,100.51,9.0504,104.9,3.9874,111.729,2.1511,136.1185,,,,,,,,,,2026-07-17,14.5068,101.9733,15.9234,104.8995,9.3914,110.753,5.3253,120.509,9.44,4.62,4.83,0.6434,0.0627,0.0777,14.64,9.21,5.43,0.4624,0.102,0.1549,14.87,9.99,4.88,0.3502,0.0994,0.1681,,,,,,,19.41,14.51,4.91,0.2908,0.1423,0.244,0.6498,0.5945,0.7388,0.7368,1.239,0.1424,Rich Vol,0.9027,1.518,0.3082,Very Rich Vol,1.0051,1.691,0.4106,Very Rich Vol,,,,,1.0197,1.715,0.4253,Very Rich Vol,1,0.73,8.19,8.19,Normal,2,0.73,14.76,16.45,Normal,3.58,2.89,,,,,,,,,,,,,0.12597,0.003187,0.122783,4.2917,8.7566,9.8059,,14.7901,0.959,0.991,0.951,Rich + Efficient,Rich + Thin,Rich + Thin,,Rich + Thin,1.7597,0.385,Normal,0.829,0.832,0.828
IONQ,2026-03-31,1.9369,0.2171,Q2 High Premium / High Risk,28.83,2026-04-10,4.6306,84.6565,3.5033,90.754,1.902,96.1197,0.8729,103.5993,2026-05-01,8.1455,86.3637,6.9719,87.9897,3.1217,86.3637,1.8557,102.6233,2026-05-15,10.9435,92.217,6.9546,97.095,4.2837,100.022,1.9684,108.3145,2026-06-18,11.4638,88.803,9.8335,92.217,6.6771,95.144,2.8847,103.274,2026-07-17,13.5883,86.8515,11.7066,90.266,6.9806,93.1925,3.1217,102.461,8.17,4.63,3.54,0.4844,0.0547,0.0558,12.79,8.15,4.65,0.4224,0.0943,0.0982,18.59,10.94,7.65,0.4771,0.1187,0.1319,17.07,11.46,5.6,0.3432,0.1291,0.1382,20.53,13.59,6.95,0.3612,0.1565,0.1638,0.577,0.8298,0.8837,0.8466,1.02,0.0168,Equiv. Vol,0.8636,1.041,0.0339,Equiv. Vol,0.9222,1.111,0.0924,Equiv. Vol,0.888,1.07,0.0583,Equiv. Vol,0.8685,1.047,0.0387,Equiv. Vol,1,0.73,19.64,19.64,Normal,3,1.1,16.19,19.64,Normal,4.99,4.04,,,,,,,,,,,,,0.107966,0.000263,0.107703,4.4051,7.9108,10.1457,11.1377,13.212,0.933,0.741,0.93,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,2.5459,0.688,Moderate,0.956,0.956,0.956
TEAM,2026-03-31,1.846,0.491,Q2 High Premium / High Risk,68.25,2026-04-10,4.1758,74.4127,2.9182,76.933,1.5995,79.5343,0.4396,90.266,2026-05-01,7.7289,89.2905,6.6667,93.6805,3.2234,98.071,1.685,98.071,2026-05-15,9.5238,87.827,8.2784,90.754,4.4689,94.168,2.1795,98.559,2026-06-18,10.8181,80.8353,10.696,83.925,5.4396,87.8275,2.3993,94.656,2026-09-18,13.315,79.535,17.3626,80.8353,8.6935,84.7377,3.4982,87.827,7.29,4.18,3.11,0.4917,0.0561,0.061,11.21,7.73,3.48,0.3579,0.0866,0.113,14.03,9.52,4.51,0.378,0.1084,0.1392,15.41,10.82,4.59,0.3405,0.1338,0.1581,15.59,13.32,2.27,0.2379,0.1674,0.1946,0.5592,0.6841,0.6713,0.7441,1.088,0.06,Equiv. Vol,0.8929,1.305,0.2088,Rich Vol,0.8783,1.284,0.1942,Rich Vol,0.8084,1.182,0.1243,Equiv. Vol,0.7954,1.163,0.1113,Equiv. Vol,2,1.47,9.34,9.91,Normal,3,1.1,9.98,11.28,Normal,4.12,3.33,,,,,,,,,,,,,0.125052,-4.2e-05,0.125094,3.9243,7.5165,9.2747,10.7937,14.1245,0.955,0.491,0.957,Cheap + Thin,Rich + Thin,Rich + Thin,Cheap + Thin,Cheap + Thin,3.2866,0.874,Elevated,0.891,0.891,0.891
HUBS,2026-03-31,1.8161,0.5262,Q2 High Premium / High Risk,244.1,2026-04-17,4.916,69.291,3.5027,71.73,1.9152,75.6325,0.6734,82.2178,,,,,,,,,,2026-05-15,8.2907,76.6078,7.3023,80.998,3.9072,85.6318,1.6387,90.266,2026-06-18,10.0942,72.3152,8.7942,76.6077,4.8013,80.7054,2.3269,83.8272,2026-09-18,12.5651,69.6394,14.4306,72.7058,7.648,76.4858,4.4859,79.047,9.79,4.92,4.88,0.544,0.0709,0.0738,,,,,,,13.92,8.29,5.63,0.4299,0.1082,0.1245,16.38,10.09,6.28,0.4045,0.1396,0.1516,17.42,12.57,4.86,0.3037,0.1804,0.1887,0.5745,0.666,0.7399,0.6929,1.04,0.0269,Equiv. Vol,,,,,0.7661,1.15,0.1001,Equiv. Vol,0.7232,1.086,0.0571,Equiv. Vol,0.6964,1.046,0.0304,Equiv. Vol,2,1.47,9.27,9.66,Normal,4,1.47,10.74,11.9,Normal,4.01,3.24,,,,,,,,,,,,,0.107287,-5.6e-05,0.107343,4.6333,,8.093,9.8342,12.9382,0.926,0.471,0.928,Cheap + Thin,,Cheap + Thin,Cheap + Thin,Cheap + Thin,3.5629,0.922,Extreme,0.874,0.876,0.874
SOUN,2026-03-31,1.8146,0.005,Q2 High Premium / High Risk,6.87,2026-04-10,4.5852,84.413,3.2023,86.364,1.3828,92.217,0.7278,104.9,2026-05-01,7.6419,85.876,6.9505,98.0705,3.7118,106.851,2.2562,120.509,2026-05-15,12.0815,94.168,6.7686,93.193,,,2.9112,100.022,2026-06-18,13.1004,91.7295,10.1892,93.193,5.2402,97.095,2.1834,101.973,2026-07-17,15.2111,89.2905,12.2271,91.242,5.0218,81.486,3.4934,101.973,7.28,4.59,2.69,0.4328,0.0543,0.0616,14.19,7.64,6.55,0.4712,0.089,0.1027,21.69,12.08,9.61,0.545,0.1283,0.1624,19.69,13.1,6.59,0.3833,0.1428,0.1761,22.74,15.21,7.53,0.3891,0.1704,0.2044,0.8127,0.7441,0.7574,0.8441,1.134,0.1001,Equiv. Vol,0.8588,1.154,0.1147,Equiv. Vol,0.9417,1.266,0.1976,Rich Vol,0.9173,1.233,0.1732,Rich Vol,0.8929,1.2,0.1488,Rich Vol,1,0.73,13.04,13.04,Normal,2,0.73,14.14,15.24,Normal,4.48,3.62,,,,,,,,,,,,,0.132426,0.000702,0.131724,4.3086,7.5036,11.0189,12.5182,14.6143,0.969,0.919,0.969,Cheap + Thin,Cheap + Thin,Rich + Thin,Rich + Thin,Rich + Thin,1.9605,0.476,Normal,0.927,0.928,0.928
RH,2026-03-31,1.8113,1.0821,Q2 High Premium / High Risk,139.82,2026-04-10,6.5109,118.4884,4.7427,122.4604,2.3721,127.989,1.4483,134.1675,2026-05-01,8.5968,88.6403,7.2474,93.8433,,,,,2026-05-15,9.1779,83.193,7.5007,85.8758,3.7906,87.827,1.7433,91.7295,2026-06-18,11.7616,84.5753,11.0678,87.0955,5.7306,89.7785,2.1313,93.9732,2026-07-17,12.9033,81.2069,12.6055,82.9492,7.0269,86.12,2.5211,89.2905,11.04,6.51,4.53,0.4679,0.0549,0.101,13.47,8.6,4.88,0.4334,0.097,0.1334,14.27,9.18,5.09,0.4058,0.1103,0.1424,17.14,11.76,5.38,0.362,0.1391,0.1825,18.55,12.9,5.64,0.3489,0.1589,0.2002,0.5621,0.6446,0.6196,1.1849,1.838,0.5402,Very Rich Vol,0.8864,1.375,0.2418,Rich Vol,0.8319,1.291,0.1873,Rich Vol,0.8458,1.312,0.2011,Rich Vol,0.8121,1.26,0.1674,Rich Vol,2,1.47,16.65,21.43,Normal,2,0.73,16.65,21.43,Normal,3.88,3.14,,,,,,,,,,,,,0.087664,-0.003894,0.091558,6.1573,8.3269,8.8425,11.6228,12.8437,0.851,0.013,0.861,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,3.8818,0.947,Extreme,0.865,0.865,0.865
FCEL,2026-03-31,1.8082,0.7204,Q2 High Premium / High Risk,6.53,2026-04-10,5.8959,95.144,2.4502,89.291,,,1.072,97.095,2026-05-01,9.4181,95.632,7.5804,100.998,3.2925,99.534,,,2026-05-15,10.0306,94.168,9.7243,101.973,3.7519,98.071,,,,,,,,,,,,2026-07-17,15.0332,106.8513,15.6968,97.095,10.1072,106.851,3.3691,94.168,11.79,5.9,5.9,0.6222,0.062,0.0723,15.74,9.42,6.32,0.4691,0.0985,0.1156,13.02,10.03,2.99,0.3271,0.1065,0.1231,,,,,,,20.66,15.03,5.63,0.2954,0.1407,0.1845,0.6455,0.815,0.8883,0.9514,1.167,0.1364,Equiv. Vol,0.9563,1.173,0.1413,Equiv. Vol,0.9417,1.155,0.1267,Equiv. Vol,,,,,1.0685,1.311,0.2535,Rich Vol,2,1.47,12.88,14.95,Normal,2,0.73,13.65,14.95,Normal,4.9,3.97,,,,,,,,,,,,,0.121279,0.001609,0.11967,5.2068,9.0506,9.9693,,15.1659,0.949,0.967,0.947,Cheap + Efficient,Cheap + Thin,Cheap + Thin,,Rich + Thin,3.4563,0.905,Extreme,0.953,0.952,0.953
SMMT,2026-03-31,1.7998,0.8133,Q2 High Premium / High Risk,18.96,2026-04-10,5.0633,87.3395,,,2.769,139.045,,,2026-05-01,10.865,105.388,6.1973,97.095,,,,,2026-05-15,11.4254,105.3875,7.384,108.802,4.8787,103.924,,,2026-06-18,12.667,106.6885,13.801,108.477,8.5047,112.2165,,,2026-07-17,15.2728,106.851,16.8776,109.4523,9.2959,115.1435,5.6698,139.045,,,,,,,17.58,10.86,6.71,0.4755,0.1031,0.1603,17.88,11.43,6.45,0.4014,0.1084,0.1685,15.43,12.67,2.76,0.2583,0.1187,0.1868,20.16,15.27,4.89,0.2882,0.1429,0.2253,0.7524,0.678,0.702,0.8734,1.288,0.1954,Rich Vol,1.0539,1.554,0.3759,Very Rich Vol,1.0539,1.554,0.3759,Very Rich Vol,1.0669,1.574,0.3889,Very Rich Vol,1.0685,1.576,0.3905,Very Rich Vol,2,1.47,12.7,14.36,Normal,3,1.1,13.27,14.4,Normal,4.08,3.3,,,,,,,,,,,,,0.096737,0.00198,0.094756,,9.9315,10.6171,12.8938,15.5938,0.883,0.978,0.875,,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,3.7133,0.929,Extreme,0.885,0.886,0.886
NVCR,2026-03-31,1.7961,0.917,Q2 High Premium / High Risk,10.9,2026-04-17,7.3394,91.242,3.8991,88.315,,,,,,,,,,,,,,2026-05-15,11.9266,90.266,8.2569,90.266,,,,,2026-06-18,8.8303,61.974,10.0917,80.51,5.7339,87.339,,,2026-09-18,12.0986,78.0713,15.8257,79.535,8.2569,82.461,,,12.39,7.34,5.05,0.5226,0.0804,0.0777,,,,,,,17.55,11.93,5.62,0.46,0.1321,0.1262,16.97,8.83,8.14,0.4891,0.1425,0.0934,14.55,12.1,2.45,0.2262,0.155,0.128,0.5986,0.9452,0.905,0.9124,0.965,-0.0327,Equiv. Vol,,,,,0.9027,0.955,-0.0425,Equiv. Vol,0.6197,0.656,-0.3254,Discounted Vol,0.7807,0.826,-0.1645,Compressed Vol,1,0.73,24.44,24.44,Normal,4,1.47,17.21,24.44,Normal,5.69,4.6,,,,,,,,,,,,,0.07032,-0.002476,0.072795,6.6513,,11.1927,9.0826,12.844,0.736,0.029,0.746,Cheap + Thin,,Cheap + Thin,Cheap + Thin,Cheap + Thin,3.081,0.841,Elevated,0.974,0.974,0.974
TECS,2026-03-31,1.7839,0.3239,Q2 High Premium / High Risk,20.64,2026-04-17,9.0359,115.631,4.7844,85.8755,1.938,80.51,,,,,,,,,,,,2026-05-15,8.834,83.7623,8.5392,82.9495,4.4816,73.681,,,,,,,,,,,,2026-07-17,14.9406,101.4852,13.2025,90.0222,6.2177,90.5913,,,11.62,9.04,2.58,0.3868,0.0781,0.1158,,,,,,,12.86,8.83,4.02,0.3632,0.1055,0.1132,,,,,,,17.93,14.94,2.99,0.2699,0.1472,0.1914,0.8562,0.7804,0.7527,1.1563,1.482,0.3759,Rich Vol,,,,,0.8376,1.073,0.0572,Equiv. Vol,,,,,1.0149,1.3,0.2345,Rich Vol,1,0.73,13.53,13.53,Normal,2,0.73,13.17,13.53,Normal,4.7,3.8,,,,,,,,,,,,,0.086527,-0.0014,0.087928,8.1856,,8.775,,14.593,0.838,0.055,0.849,Rich + Thin,,Cheap + Thin,,Rich + Thin,1.9536,0.471,Normal,0.943,0.944,0.944
USO,2026-03-31,1.7532,1.8854,Q2 High Premium / High Risk,127.25,2026-04-10,5.1724,95.0553,3.4774,94.4121,1.8297,95.1438,0.833,98.3637,2026-05-01,8.9739,90.8665,6.3004,88.6152,3.3483,86.4334,1.4882,83.0711,2026-05-15,10.3521,87.4895,7.1793,82.322,3.51,79.5347,1.3415,79.6495,2026-06-18,11.4656,76.1201,8.6456,71.6691,4.2115,68.6258,1.6383,68.424,2026-07-17,11.6405,69.8764,9.4857,65.0729,4.5338,62.7996,1.7332,62.4619,9.09,5.17,3.91,0.4798,0.0544,0.0778,15.81,8.97,6.83,0.496,0.0988,0.135,18.28,10.35,7.92,0.4943,0.1183,0.1557,20.66,11.47,9.2,0.4848,0.1506,0.1725,19.86,11.64,8.22,0.4342,0.1666,0.1751,0.775,0.6648,0.5344,0.9506,1.43,0.2857,Rich Vol,0.9087,1.367,0.2438,Rich Vol,0.8749,1.316,0.2101,Rich Vol,0.7612,1.145,0.0964,Equiv. Vol,0.6988,1.051,0.0339,Equiv. Vol,4,2.93,10.31,12.17,Elevated,4,1.47,10.31,12.17,Normal,4.0,3.24,,,,,,,,,,,,,0.076682,-0.003468,0.08015,4.8334,8.4392,9.7175,10.9016,11.2095,0.775,0.015,0.796,Rich + Thin,Rich + Thin,Rich + Thin,Cheap + Thin,Cheap + Thin,6.4242,1.0,Extreme,0.872,0.872,0.874
